\item $\displaystyle \int \dfrac{-12x+18}{\sqrt[3]{\left(3x^2-9x-2\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x+16}{\sqrt[3]{\left(x^2-4x-8\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x-16}{\sqrt[3]{\left(2x^2+8x-20\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-24x+12}{\sqrt{\left(6x^2-6x+2\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-156x^2+40x-52}{\sqrt[5]{\left(13x^3-5x^2+13x\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-56x-4}{\sqrt[3]{\left(7x^2+x-16\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x^2+64x+60}{\sqrt[4]{\left(3x^3+8x^2+15x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{18x^2-24x-4}{\sqrt[4]{\left(3x^3-6x^2-2x+26\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{4x}{\sqrt[4]{\left(x^2\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{144x^2+24x+36}{\sqrt[5]{\left(12x^3+3x^2+9x\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-8x+8}{\sqrt[4]{\left(x^2-2x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{8x-4}{\sqrt[3]{\left(x^2-x+4\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-32x-4}{\sqrt{\left(8x^2+2x-8\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-40x-20}{\sqrt[4]{\left(5x^2+5x-12\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{56x-20}{\sqrt[5]{\left(14x^2-10x+26\right)^{2}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-12x+4}{\sqrt{\left(3x^2-2x-2\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-56x+14}{\sqrt[4]{\left(14x^2-7x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{48x^2}{\sqrt[5]{\left(4x^3+8\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-6x^2+2}{\sqrt[3]{\left(x^3-x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{90x+27}{\sqrt{\left(15x^2+9x+42\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{54x+6}{\sqrt[5]{\left(9x^2+2x-30\right)^{4}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{36x}{\sqrt{\left(9x^2-18\right)^{3}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-4x-22}{\sqrt[3]{\left(x^2+11x\right)^{5}}}\, \, dx = \cdots $
\item $\displaystyle \int \dfrac{-36x+36}{\sqrt[5]{\left(6x^2-12x\right)^{3}}}\, \, dx = \cdots $
