\item $\displaystyle \int \left(3x^2-60x+336\right)\sqrt[4]{(x-10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+24x-24\right)\sqrt[4]{(3x-4)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-48x-24\right)\sqrt{2x+4}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2-48x-56\right)\sqrt[4]{(3x+4)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+24x+8\right)\sqrt{3x+2}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+8x+4\right)\sqrt{(2x+2)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+8x-4\right)\sqrt{2x-2}\, \, dx =\cdots $
\item $\displaystyle \int \left(-2x^2-20x-74\right)\sqrt[4]{(x+5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-18x+84\right)\sqrt[3]{(x-9)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+12x-15\right)\sqrt[3]{(2x-3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-120x+210\right)\sqrt[3]{(3x-10)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+11\right)\sqrt[3]{2x}\, \, dx = \cdots $
\item $\displaystyle \int \left(12x^2+72x+81\right)\sqrt{(2x+6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2-2\right)\sqrt{x}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2-8x+6\right)\sqrt[4]{(2x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-24x+28\right)\sqrt{2x-6}\, \, dx =\cdots $
\item $\displaystyle \int \left(-9x^2+42x-49\right)\sqrt{(3x-7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+28x+80\right)\sqrt{(x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2-12x+22\right)\sqrt{(3x-1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-108x-243\right)\sqrt[3]{(2x+9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2+10\right)\sqrt{x}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+40x+102\right)\sqrt{(2x+10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+14x+50\right)\sqrt[3]{(x+7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-2x-6\right)\sqrt[4]{(x-1)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+36x-36\right)\sqrt{(3x-6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2-12x+18\right)\sqrt[3]{x-3}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-28x+63\right)\sqrt[3]{(2x-7)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+72x-162\right)\sqrt[3]{2x-9}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-12x+4\right)\sqrt[4]{3x-2}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-12x+46\right)\sqrt[4]{x-6}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2\right)\sqrt{(x)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12x+37\right)\sqrt[3]{x+6}\, \, dx = \cdots $
\item $\displaystyle \int \left(3x^2+54x+234\right)\sqrt{(x+9)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-32x-64\right)\sqrt{2x+8}\, \, dx =\cdots $
\item $\displaystyle \int \left(3x^2-18x-6\right)\sqrt{x-3}\, \, dx =\cdots $
\item $\displaystyle \int \left(-12x^2-96x-159\right)\sqrt{2x+8}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2-40x+24\right)\sqrt{(2x-5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(8x^2+48x+72\right)\sqrt{(2x+6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-3x^2-60x-288\right)\sqrt[3]{(x+10)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+12x+49\right)\sqrt[4]{(x+6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2+18x+42\right)\sqrt{(3x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-2x^2-4x+26\right)\sqrt{x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(-18x^2+36x-20\right)\sqrt{3x-3}\, \, dx =\cdots $
\item $\displaystyle \int \left(-2x^2+24x-74\right)\sqrt[3]{(x-6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-12x-16\right)\sqrt[4]{(2x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+4x+6\right)\sqrt{(x+1)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+72x+64\right)\sqrt{(3x+6)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+10\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2+40x+224\right)\sqrt{(x+10)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+32x+64\right)\sqrt{(2x+8)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2-48x-53\right)\sqrt[3]{3x+8}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2+60x-50\right)\sqrt[3]{(3x-5)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2-8x-2\right)\sqrt[3]{(2x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2-14x+63\right)\sqrt{x-7}\, \, dx =\cdots $
\item $\displaystyle \int \left(12x^2+84x+147\right)\sqrt{(2x+7)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-24x+36\right)\sqrt[3]{2x-6}\, \, dx = \cdots $
\item $\displaystyle \int \left(27x^2+36x+24\right)\sqrt{(3x+2)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-12x^2-24x-12\right)\sqrt[3]{2x+2}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+32x+128\right)\sqrt{(x+8)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-48x+67\right)\sqrt{3x-8}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2-8x+8\right)\sqrt[4]{(x-2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-12x+9\right)\sqrt{2x-3}\, \, dx =\cdots $
\item $\displaystyle \int \left(-8x^2-40x-68\right)\sqrt{(2x+5)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-9x^2+2\right)\sqrt{(3x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(18x^2+48x+58\right)\sqrt[3]{(3x+4)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+12x+4\right)\sqrt[4]{(2x-3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+80x-172\right)\sqrt{2x-10}\, \, dx =\cdots $
\item $\displaystyle \int \left(-x^2-2x+10\right)\sqrt{x+1}\, \, dx =\cdots $
\item $\displaystyle \int \left(-4x^2+28x-35\right)\sqrt[3]{(2x-7)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2-36x+36\right)\sqrt[3]{(3x-6)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(9x^2\right)\sqrt{(3x)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-72x-182\right)\sqrt{2x+9}\, \, dx =\cdots $
\item $\displaystyle \int \left(-9x^2+18x-10\right)\sqrt{3x-3}\, \, dx =\cdots $
\item $\displaystyle \int \left(4x^2+24x+36\right)\sqrt{2x+6}\, \, dx =\cdots $
\item $\displaystyle \int \left(x^2-6x+9\right)\sqrt[4]{(x-3)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+12x+17\right)\sqrt[3]{(2x+3)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+4x+1\right)\sqrt[4]{2x+1}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2+32x+64\right)\sqrt{2x+8}\, \, dx =\cdots $
\item $\displaystyle \int \left(8x^2+16x+20\right)\sqrt[3]{(2x+2)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(x^2+8x+8\right)\sqrt[4]{x+4}\, \, dx = \cdots $
\item $\displaystyle \int \left(-x^2-14x-50\right)\sqrt{x+7}\, \, dx =\cdots $
\item $\displaystyle \int \left(-12x^2+108x-243\right)\sqrt[3]{(2x-9)^{2}}\, \, dx = \cdots $
\item $\displaystyle \int \left(4x^2-14\right)\sqrt{2x}\, \, dx =\cdots $
\item $\displaystyle \int \left(2x^2-24x+90\right)\sqrt[4]{x-6}\, \, dx = \cdots $
\item $\displaystyle \int \left(-4x^2+24x-44\right)\sqrt{(2x-6)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2+8x-2\right)\sqrt[3]{(2x-1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(2x^2+12x+6\right)\sqrt{(x+3)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-27x^2+18x-6\right)\sqrt{(3x-1)^{4}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-18x^2+96x-110\right)\sqrt[4]{(3x-8)^{3}}\, \, dx = \cdots $
\item $\displaystyle \int \left(-8x^2-8x+4\right)\sqrt[3]{2x+1}\, \, dx = \cdots $
